"objid","gefaess_id","bemerkung","gefaesstyp","auspraegung_1","auspraegung_2","auspraegung_3","auspraegung_4","auspraegung_5","dimension","ort","region","saison","gefaesstyp_txt","auspraegung_1_txt","auspraegung_2_txt","auspraegung_3_txt","auspraegung_4_txt","auspraegung_5_txt","region_txt","saison_txt","dimension_txt","geometry"
"1320","5069","","5","9","1","1","1","1","4","Bäckeranlage","2","0","Abfallhai","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681919.5 1248067.1)"
"1321","5071","","5","8","1","1","1","1","4","Bäckeranlage","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681876.5 1248023.2)"
"1322","1618","","0","3","1","1","1","1","0","Brauerstrasse 119","2","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","unbekannt","POINT (2681817 1248257.1)"
"1323","5074","","5","8","1","1","1","1","4","Bäckeranlage","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681906 1247967)"
"1324","5075","","5","8","1","1","1","1","4","Bäckeranlage","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681944 1247949)"
"1325","1643","","5","9","1","1","1","1","4","Bäckeranlage","2","0","Abfallhai","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681980 1248033.9)"
"1326","1644","","5","8","1","1","1","1","4","Bäckeranlage","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681962.5 1248044)"
"1327","5076","","5","9","1","1","1","1","4","Bäckeranlage","2","0","Abfallhai","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681963.8 1247935)"
"1328","1646","","5","12","1","1","1","1","4","Hohlstrasse 68","2","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2682041 1248005.6)"
"1329","5077","","5","8","1","1","1","1","4","Bäckeranlage","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681984.2 1247962)"
"1330","1648","","5","8","12","1","1","1","4","VBZ Bäckeranlage","2","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681944.2 1248157.2)"
"1331","5162","","5","1","1","1","1","1","4","Zöllystrasse","2","0","Abfallhai","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681880 1249465.6)"
"1332","5163","","5","1","1","1","1","1","2","Zöllystrasse","2","0","Abfallhai","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2681889 1249427.4)"
"1333","5164","","5","8","1","1","1","1","4","VBZ Bahnhof Hardbrücke","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681457.8 1248866)"
"1334","1652","","0","3","1","1","1","1","0","Schöneggstrasse 25","2","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","unbekannt","POINT (2682132.5 1248289.9)"
"1335","1653","","5","8","1","1","1","1","4","VBZ Militärstrasse","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2682208.5 1248232.6)"
"1336","5177","","5","1","1","1","1","1","4","Hardstrasse 301","2","0","Abfallhai","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681734.2 1249294.9)"
"1337","1655","","0","3","1","1","1","1","0","Neufrankengasse 25","2","0","Robidog","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","unbekannt","POINT (2682169 1248320.1)"
"1338","1656","","5","12","1","1","1","1","4","Neufrankengasse 1","2","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2682249.5 1248270)"
"1339","5741","","4","9","7","1","1","1","2","Wasersteig","1","0","Zuerikuebel","Dispenser_Dog","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2685815.5 1245935)"
"1340","5761","","5","12","8","1","1","1","4","Mueseumsstrasse Landesmuseum","1","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683227.8 1248134.2)"
